Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
PSC4,1,1,1,1,1,1,1,1
PSC6,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
PNO2,1,1,1,1,1,1,1,1
AP1,2.718281828,1,2.71828183,1,2.71828183,2.71828183,2.71828183,2.71828183
AP3,2.718281828,2.71828183,1,1,1,1,1,1
AP4,1,1,1,1,1,2.71828183,1,1
AP5,1,1,1,1,2.71828183,2.71828183,2.71828183,1
AP6,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AP7,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AP8,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AP9,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AM1,1,1,1,1,1,1,1,1
AM2,2.718281828,1,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AH1,2.718281828,1,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AH2,2.718281828,2.71828183,2.71828183,1,1,1,1,2.71828183
AH3,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AH4,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
AH5,1,1,1,1,1,1,1,1
AH6,1,1,1,1,1,1,1,1
AH7,1,1,1,1,1,1,1,1
AO1,1,1,1,1,1,1,1,1
AO2,1,1,1,1,2.71828183,2.71828183,1,1
AO3,1,2.71828183,1,1,1,1,1,1
BP0,1,2.71828183,1,1,1,1,1,1
BP1,1,1,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
BM1,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
BH2,1,2.71828183,1,1,1,1,1,1
DP2,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
DM1,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,1,2.71828183
DO2,2.718281828,2.71828183,1,1,1,1,1,1
DO3,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
CP1,1,2.71828183,1,1,1,1,2.71828183,2.71828183
CP2,1,1,1,1,1,1,2.71828183,1
E1,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,1
E3,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
E5,1,1,1,1,1,1,1,1
E6,2.718281828,2.71828183,2.71828183,2.71828183,2.71828183,1,1,2.71828183
E7,1,1,1,1,1,1,1,1
E8,1,1,1,1,1,1,1,1
E11,1,1,1,1,1,1,1,1
F2,1,1,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183,2.71828183
F3,1,1,2.71828183,2.71828183,1,1,2.71828183,2.71828183
F4,1,1,1,2.71828183,1,1,1,1
