Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
PSC4,1,1,1,2.718281828,2.718281828,1,1,1
PSC6,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
PNO2,1,1,1,1,1,1,1,1
AP1,1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1
AP3,1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1
AP4,1,1,1,2.718281828,2.718281828,2.718281828,1,1
AP5,1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1
AP6,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AP7,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AP8,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AP9,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AM1,1,1,1,2.718281828,2.718281828,2.718281828,1,1
AM2,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,1
AH1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH2,1,1,1,2.718281828,2.718281828,2.718281828,1,1
AH3,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH4,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH5,1,1,1,1,1,1,1,1
AH6,1,1,1,1,1,1,1,1
AH7,1,1,1,2.718281828,2.718281828,1,1,1
AO1,1,1,1,1,2.718281828,1,1,1
AO2,1,1,1,2.718281828,2.718281828,2.718281828,1,1
AO3,1,1,1,2.718281828,2.718281828,2.718281828,1,1
BP0,1,1,1,2.718281828,2.718281828,2.718281828,1,1
BP1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
BM1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
BH2,1,1,1,2.718281828,1,1,1,1
DP2,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
DM1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,1,2.718281828
DO2,2.718281828,2.718281828,1,1,2.718281828,1,1,1
DO3,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
CP1,1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
CP2,1,1,1,2.718281828,2.718281828,1,2.718281828,1
E1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,1
E3,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E5,1,1,1,2.718281828,2.718281828,2.718281828,1,1
E6,2.718281828,1,2.718281828,2.718281828,2.718281828,1,1,2.718281828
E7,1,1,1,2.718281828,2.718281828,1,1,1
E8,1,1,1,1,2.718281828,1,1,1
E11,1,1,1,1,2.718281828,1,1,1
F2,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
F3,1,1,2.718281828,2.718281828,2.718281828,1,2.718281828,1
F4,1,1,1,2.718281828,1,1,1,1
