Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
PSC4,4.1,17,2.2,0.83,0.56,1.4,2.3,5.7
PNO2,17,16.2,7.6,1.8,1.4,6.6,3,2.1
AP1,3.2,8.9,1,0.27,0.1,0.28,0.44,1.5
AP3,2.1,6,1.2,0.31,0.19,0.42,0.65,1.8
AP4,3.8,8,1.2,0.46,0.19,0.41,1.2,3.2
AP5,4.3,7.7,1.3,0.44,0.14,0.31,0.6,1.6
AP6,1.6,0.88,0.12,0.013,0.015,0.039,0.049,0.23
AP7,1.8,1.4,0.56,0.051,0.073,0.018,0.13,0.71
AP8,0.27,1,0.046,0.0056,0.0066,0.023,0.015,0.074
AP9,0.31,1.7,0.077,0.007,0.008,0.03,0.02,0.12
AM1,3.4,6.9,1.2,0.5,0.26,0.53,0.9,2.5
AM2,1.9,7.8,0.53,0.16,0.06,0.14,0.25,1.2
AH1,1.3,12,0.36,0.031,0.035,0.093,0.16,0.76
AH2,1.2,2.6,1,0.4,0.38,0.64,1.2,1.3
AH3,1.3,3,0.21,0.019,0.055,0.19,0.17,0.29
AH4,0.89,4.1,0.11,0.005,0.03,0.11,0.097,0.24
AH5,23,100,8.3,0.9,1,3.4,3.8,9
AH6,23,100,8.3,0.9,1,3.4,3.8,9
AH7,11,11,2.5,0.34,0.39,1,1.2,4.4
AO1,7.9,9.3,5.4,0.87,0.73,1.4,2.3,4.5
AO2,4.1,7,1.1,0.29,0.11,0.08,0.92,1.6
AO3,4.3,6.2,2.2,0.57,0.33,0.6,1.6,1.8
E1,2.4,4.9,0.79,0.25,0.11,0.29,0.38,1.6
E3,1.1,2.7,0.35,0.05,0.083,0.32,0.36,0.79
E6,0.51,1.1,0.17,0.057,0.083,2.2,1.5,0.6
E7,7.9,12,4.2,0.66,0.78,2,3.3,8.9
E8,15,100,2.6,0.88,0.86,2.6,3.6,23
E11,39,100,5.9,3.2,0.46,2.1,5.9,18
