Name,Smiles,Label
core_a,[17OH]C1=C2C=C([Y])C=C1CC3=C([17OH])C(CC4=CC(S(=O)([O-])=O)=CC(CC5=C([17OH])C(C2)=CC(S(=O)([O-])=O)=C5)=[13C]4[17O-])=CC(S(=O)([O-])=O)=C3,c
core_b,[17OH]C1=C2C=C(S([O-])(=O)=O)C=C1CC3=C([17OH])C(CC4=CC(S(=O)([O-])=O)=CC(CC5=C([17OH])C(C2)=CC([Y])=C5)=[13C]4[17O-])=CC([Y])=C3,c
core_c,[Y]C1=CC(CC2=CC(S(=O)([O-])=O)=CC(C3)=[13C]2[17O-])=C([17OH])C(CC4=C([17OH])C(CC5=C([17OH])C3=CC([Y])=C5)=CC([Y])=C4)=C1,c
core_d,[17OH]C1=C2C=C([Y])C=C1CC3=C([17OH])C(CC4=CC(S(=O)([O-])=O)=CC(CC5=C([17OH])C(C2)=CC(S(=O)([O-])=O)=C5)=[13C]4[17O-])=CC([Y])=C3,c
core_e,[17OH]C1=C(CC2=CC(S(=O)([O-])=O)=CC(C3)=[13C]2[17O-])C=C(S(=O)([O-])=O)C=C1CC4=C([17OH])C(CC5=C([17OH])C3=CC(S(=O)([O-])=O)=C5)=CC(N[Y])=C4,c
core_f,[Y]C1=C2C=C(OCC([O-])=O)C=C1CC3=C([17OH])C(CC4=CC(S(=O)([O-])=O)=CC(CC5=C([17OH])C(C2)=CC(S(=O)([O-])=O)=C5)=[13C]4[17O-])=CC(S(=O)([O-])=O)=C3,c
core_f4,[Y]C1=C2C=C(C=C1CC3=C(C(CC4=CC(S(=O)([O-])=O)=CC(CC5=C(C(C2)=CC(S(=O)([O-])=O)=C5)[17OH])=[13C]4[17O-])=CC(S(=O)([O-])=O)=C3)[17OH])S(=O)([O-])=O,c
core_6,[17O-][13C]1=C(C2=C([17OH])C(C3=C([17OH])C4=CC(S([O-])(=O)=O)=C3)=CC(S([O-])(=O)=O)=C2)C=C(S(=O)([O-])=O)C=C1C5=CC(S([O-])(=O)=O)=CC(C6=CC(S([O-])(=O)=O)=CC(C7=CC(S([O-])(=O)=O)=CC4=C7[Y])=C6[17OH])=C5[17OH],c
core_no2,[Y]C1=C2C=C(C=C1CC3=C(C(CC4=CC(S(=O)([O-])=O)=CC(CC5=C(C(C2)=CC(S(=O)([O-])=O)=C5)[17OH])=[13C]4[17O-])=CC(S(=O)([O-])=O)=C3)[17OH])[N+]([O-])=O,c
psc4,[Y]S([O-])(=O)=O,s
psc,[Y]O,s
p0,[Y]C1=CC=CC=C1,s
p1,[Y]C1=CC=C(CC([O-])=O)C=C1,s
p2,[Y]C1=CC=C(C([O-])=O)C=C1,s
p3,[Y]C1=CC=C(C(C)(C)C)C=C1,s
p4,[Y]C1=CC=C(C)C=C1,s
p5,[Y]C1=CC=C(C2=CC=CC=C2)C=C1,s
p6,[Y]C1=CC=C(C(N[C@@H](CC([O-])=O)C([O-])=O)=O)C=C1,s
p7,[Y]C1=CC=C(C(N[C@@H](CC([O-])=O)C(N)=O)=O)C=C1,s
p8,[Y]C1=CC=C(C(N[C@@H](CC2=CC=C(O)C=C2)C([O-])=O)=O)C=C1,s
p9,[Y]C1=CC=C(C(N[C@@H](CC2=CC=C(O)C=C2)C(N)=O)=O)C=C1,s
o1,[Y]C1=C(C)C=CC=C1,s
o2,[Y]C1=C(OC)C=CC=C1,s
o3,[Y]C1=C(F)C=CC=C1,s
m1,[Y]C1=CC(C(C)=O)=CC=C1,s
m2,[Y]C1=CC(C([O-])=O)=CC=C1,s
h1,[Y]C1=CC(C=CC=C2)=C2O1,s
h2,[Y]C1=CN=CC=C1,s
h3,[Y]C1=CC=CO1,s
h4,[Y]C1=CC(C=CC=C2)=C2N1,s
h5,[Y]C1=CN=CN=C1,s
h6,[Y]C1=CN=CN1,s
h7,[Y]C1=CC=NC=C1,s
e1,[Y]S(C(C=C1)=CC=C1C([O-])=O)(=O)=O,s
e2,[Y]S(C(C=C1)=CC=C1OC)(=O)=O,s
e3,[Y]C(C1=CC=C(C2=CC=CC=C2)C=C1)=O,s
e4,BrC1=CC=C(S([Y])(=O)=O)C=C1,s
e5,BrC1=CC=C(C([Y])=O)C=C1,s
e6,[Y]C(OCC1=CC=CC=C1)=O,s
e7,[Y]C(C1=C(F)C(F)=C(F)C(F)=C1F)=O,s
e8,[Y]NC(NC1=CC=C(C)C=C1)=S,s
e9,[Y]S(C(C=C1)=CC=C1[N+]([O-])=O)(=O)=O,s
e10,[Y]S(C1=C(Br)C=CC=C1)(=O)=O,s
e11,[Y]S(C1=C(F)C(F)=C(F)C(F)=C1F)(=O)=O,s
f4,O=C([O-])C1=CC=C(S(=O)(O[Y])=O)C=C1,s
