Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP8,1,1,1,1,1,1,1,1
AH4,1,1,1,1,1,1,1,1
AH3,1,1,1,1,1,1,1,1
DP2,1,1,1,1,1,1,1,1
AH1,1,2.718281828,1,1,1,1,1,1
DM1,1,1,1,1,1,1,2.718281828,1
DO3,1,1,1,1,1,1,1,1
AP9,1,1,1,1,1,1,1,1
BM1,1,1,1,1,1,1,1,1
BP1,1,2.718281828,1,1,1,1,1,1
AP6,1,1,1,1,1,1,1,1
E3,1,1,1,1,1,1,1,1
E6,1,1,1,1,1,2.718281828,2.718281828,1
PSC6,1,1,1,1,1,1,1,1
AP7,1,1,1,1,1,1,1,1
CP2,2.718281828,2.718281828,2.718281828,1,2.718281828,2.718281828,1,2.718281828
E5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E7,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
BH2,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
PSC4,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH7,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E11,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
PNO2,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E8,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH6,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AO1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AP1,2.718281828,2.718281828,1,1,1,1,1,1
AP3,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1,2.718281828
AP4,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,1,2.718281828,2.718281828
E1,1,1,1,1,1,1,1,2.718281828
AP5,2.718281828,2.718281828,2.718281828,2.718281828,1,1,1,2.718281828
AO2,2.718281828,2.718281828,1,2.718281828,1,1,2.718281828,2.718281828
DO2,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AM2,1,2.718281828,1,1,1,1,1,1
AH2,1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1
BP0,2.718281828,1,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828
AO3,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
CP1,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,1,1
AM1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
