Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s,log_H3K4,log_H3K4ac,log_H3K4me1,log_H3K4me2,log_H3K4me3,log_H3K9me3,log_H3R2me2a,log_H3R2me2s,avg_H3K4,avg_H3K4ac,avg_H3K4me1,avg_H3K4me2,avg_H3K4me3,avg_H3K9me3,avg_H3R2me2a,avg_H3R2me2s,log_all_A,log_all_B,log_all_C,log_all_D,log_all_E,log_all_F,per_cal_H3K4,per_cal_H3K4ac,per_cal_H3K4me1,per_cal_H3K4me2,per_cal_H3K4me3,per_cal_H3K9me3,per_cal_H3R2me2a,per_cal_H3R2me2s
PSC4,4.1,17,2.2,0.83,0.56,1.4,2.3,5.7,1.410986974,2.833213344,0.78845736,-0.186329578,-0.579818495,0.336472237,0.832909123,1.740466175,1.225321722,2.837064073,2.822466836,5.076142132,3.674058523,3.433307992,4.344623057,4.791647402,-0.484034142,-0.377299949,0.976011692,-1.95107793,0.53283161,0.04905867,,,,,,,,
PSC6,0.38,2.9,0.26,0.058,0.017,0.084,0.22,0.37,-0.967584026,1.064710737,-1.347073648,-2.847312268,-4.074541935,-2.47693848,-1.514127733,-0.994252273,0.113566403,0.483969754,0.333564262,0.354718366,0.111533919,0.20599848,0.41557264,0.311036761,,,,,,,,,,,,,,
P-NO2,17,16.2,7.6,1.8,1.4,6.6,3,2.1,2.833213344,2.785011242,2.028148247,0.587786665,0.336472237,1.887069649,1.098612289,0.741937345,5.080602261,2.703555175,9.750339979,11.00850101,9.185146306,16.18559482,5.666899639,1.76534378,avg_all_A,avg_all_B,avg_all_C,avg_all_D,avg_all_E,avg_all_F,,,,,,,,
AP1,3.2,8.9,1,0.27,0.1,0.28,0.44,1.5,1.16315081,2.186051277,0,-1.30933332,-2.302585093,-1.272965676,-0.820980552,0.405465108,0.956348661,1.485286485,1.282939471,1.651275151,0.656081879,0.686661598,0.83114528,1.260959843,0.61629216,0.685710365,2.653850732,0.142120793,1.70374984,1.050281969,5.192360739,14.44125331,1.622612731,0.438105437,0.162261273,0.454331565,0.713949602,2.433919097
AP3,2.1,6,1.2,0.31,0.19,0.42,0.65,1.8,0.741937345,1.791759469,0.182321557,-1.171182982,-1.660731207,-0.867500568,-0.430782916,0.587786665,0.627603809,1.001316732,1.539527365,1.895908507,1.24655557,1.029992398,1.227828255,1.513151811,,,,,,,3.407486735,9.735676386,1.947135277,0.503009947,0.308296419,0.681497347,1.054698275,2.920702916
AP4,3.8,8,1.2,0.46,0.19,0.41,1.2,3.2,1.335001067,2.079441542,0.182321557,-0.776528789,-1.660731207,-0.891598119,0.182321557,1.16315081,1.135664035,1.335088975,1.539527365,2.813283591,1.24655557,1.005468769,2.266759856,2.690047664,,,,,,,6.165928378,12.98090185,1.947135277,0.746401856,0.308296419,0.66527122,1.947135277,5.192360739
AP5,4.3,7.7,1.3,0.44,0.14,0.31,0.6,1.6,1.458615023,2.041220329,0.262364264,-0.820980552,-1.966112856,-1.171182982,-0.510825624,0.470003629,1.285093513,1.285023139,1.667821312,2.690966913,0.918514631,0.760232484,1.133379928,1.345023832,,,,,,,6.977234743,12.49411803,2.10939655,0.713949602,0.227165782,0.503009947,0.973567639,2.59618037
AP6,1.6,0.88,0.12,0.013,0.015,0.039,0.049,0.23,0.470003629,-0.127833372,-2.120263536,-4.342805922,-4.199705078,-3.244193633,-3.015934981,-1.46967597,0.47817433,0.146859787,0.153952737,0.079505841,0.098412282,0.095642151,0.092559361,0.193347176,,,,,,,2.59618037,1.427899203,0.194713528,0.021093966,0.024339191,0.063281897,0.079508024,0.373200928
AP7,1.8,1.4,0.56,0.051,0.073,0.018,0.13,0.71,0.587786665,0.336472237,-0.579818495,-2.975929646,-2.617295838,-4.017383521,-2.040220829,-0.342490309,0.537946122,0.233640571,0.718446104,0.311907529,0.478939772,0.044142531,0.245565651,0.596854326,,,,,,,2.920702916,2.271657823,0.908663129,0.082753249,0.118450729,0.029207029,0.210939655,1.152055039
AP8,0.27,1,0.046,0.0056,0.0066,0.023,0.015,0.074,-1.30933332,0,-3.079113882,-5.184988681,-5.02068563,-3.772261063,-4.199705078,-2.603690186,0.080691918,0.166886122,0.059015216,0.03424867,0.043301404,0.056404346,0.028334498,0.062207352,,,,,,,0.438105437,1.622612731,0.074640186,0.009086631,0.010709244,0.037320093,0.024339191,0.120073342
