Host,SMILES,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP8,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=C(C(N[C@@H](CC6=CC=C(O)C=C6)C(O)=O)=O)C=C5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,-1.30933332,0,-3.079113882,-5.184988681,-5.02068563,-3.772261063,-4.199705078,-2.603690186
AH4,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)N5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,-0.116533816,1.410986974,-2.207274913,-5.298317367,-3.506557897,-2.207274913,-2.3330443,-1.427116356
AH3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC=CO5)C=C1CC6=C(O)C(C4)=CC(S(=O)(O)=O)=C6,0.262364264,1.098612289,-1.560647748,-3.9633163,-2.900422094,-1.660731207,-1.771956842,-1.237874356
DP2,OC1=C(CC2=CC(C3=CC=C(C(O)=O)C=C3)=CC(C4)=C2O)C=C(C5=CC=C(C(O)=O)C=C5)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-0.356674944,0.09531018,-1.386294361,-2.302585093,-3.244193633,-2.645075402,-2.430418465,-1.347073648
AH1,OC1=C(CC2=CC(S(=O)(O)=O)=CC(CC3=CC(S(=O)(O)=O)=CC4=C3O)=C2O)C=C(C5=CC6=C(C=CC=C6)O5)C=C1CC7=C(O)C(C4)=CC(S(=O)(O)=O)=C7,0.262364264,2.48490665,-1.021651248,-3.473768074,-3.352407217,-2.375155786,-1.832581464,-0.274436846
DM1,OC1=C(CC2=CC(C3=CC(C(C)=O)=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC(C(C)=O)=C5)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-1.021651248,-0.261364764,-0.820980552,-2.120263536,-2.488914671,-1.139434283,1.252762968,-0.527632742
DO3,OC1=C(CC2=CC(C3=C(F)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5F)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,-5.572754212,-6.265901393,-3.772261063,-4.815891217,-5.339139361,-4.509860006,-4.135166557,-5.572754212
AP9,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC5=CC=C(C=C5)O)=O)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,-1.171182982,0.530628251,-2.563949857,-4.96184513,-4.828313737,-3.506557897,-3.912023005,-2.120263536
BM1,OC1=C(C=C(C2=CC=CC(C(C)=O)=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC(C(C)=O)=C7)=CC4=C6O)=C5O,-1.832581464,-0.891598119,-1.714798428,-2.207274913,-2.302585093,-1.560647748,-1.30933332,-1.237874356
BP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=C(CC(O)=O)C=C7)=CC4=C6O)=C5O,0,1.871802177,-1.771956842,-3.729701449,-4.017383521,-3.170085661,-2.918771232,-1.30933332
